k = 5
100	303253
500	374072
1000	273430
5000	425825
10000	725236
20000	362338
100000	435183
200000	571514
350000	350745
500000	421076
1000000	360941

k = 10
100	400332
500	372326
1000	386434
5000	538688
10000	489311
20000	505584
100000	558454
200000	636118
350000	589603
500000	521018
1000000	585134

k = 15
100	557825
500	539387
1000	467032
5000	638213
10000	887338
20000	889713
100000	869040
200000	743185
350000	680398
500000	691851
1000000	856119

k = 20
100	933015
500	876932
1000	675579
5000	793191
10000	1005719
20000	822875
100000	877840
200000	854722
350000	796055
500000	1066552
1000000	801223

k = 25
100	1796677
500	1170477
1000	1234451
5000	990215
10000	1645819
20000	956830
100000	985815
200000	1261341
350000	1044552
500000	962348
1000000	1157555

k = 30
100	894462
500	884196
1000	1290185
5000	867503
10000	1028349
20000	1303595
100000	1137022
200000	1390548
350000	1119981
500000	1045110
1000000	1069486
