k = 5
100	636258
100	379450
500	345228
1000	354377
5000	727890
10000	1247372
20000	3311752
100000	15901620
200000	33141197
350000	70492590
500000	59900682
1000000	114326198

k = 10
100	388599
500	408783
1000	594143
5000	1416948
10000	1890614
20000	3485169
100000	15886255
200000	32950809
350000	55324377
500000	87302222
1000000	143327950

k = 15
100	1063758
500	684029
1000	568231
5000	1017384
10000	1495101
20000	3567931
100000	19742144
200000	36423616
350000	42389492
500000	76665826
1000000	208055811

k = 20
100	575076
500	1250934
1000	891110
5000	1345570
10000	2203645
20000	3803228
100000	20670689
200000	31253866
350000	60076755
500000	80329441
1000000	121822586

k = 25
100	992590
500	1097352
1000	1157975
5000	1506555
10000	2293321
20000	3873628
100000	16618825
200000	41927559
350000	40932525
500000	79132076
1000000	140839355

k = 30
100	1267207
500	1222578
1000	1141841
5000	2329918
10000	2429233
20000	3429854
100000	13390463
200000	32684224
350000	69282376
500000	73450666
1000000	241549294
